Run #,BSH enzyme,Inhibitor,Replicate,Sample ID,TUDCA,TCDCA,TDCA,TCA,TLCA,GUDCA,GCDCA,GDCA,GCA,GLCA,CA d4,CDCA d4,DCA d4
Run 1,Ct,NI,1,Ct-NI-1,50.03672,6.9217,23.27307,6.43061,1.69597,0.40922,6.8516,15.07809,5.80068,1.02776,0.03216,0.03342,0.06869
Run 1,Ct,NI,2,Ct-NI-2,47.26314,6.24347,21.41157,7.38377,1.99116,0.54884,7.70181,16.77562,7.72536,1.30042,0.02789,0.03376,0.06511
Run 1,Ct,NI,3,Ct-NI-3,54.58052,7.62657,25.57718,8.05897,1.97353,0.82907,8.66165,18.28496,8.84835,1.05277,0.02265,0.03992,0.05725
Run 1,JL885,NI,1,JL885-NI-1,0.09495,0.02411,0.04375,0.04944,0.00167,0.01769,0.01551,0.00395,0.32745,0.00283,0.03805,0.04429,0.06744
Run 1,JL885,NI,2,JL885-NI-2,0.14979,0.02276,0.01523,0.07101,0.00391,0.0074,0.0262,0.00308,0.07294,0.00411,0.04143,0.03821,0.06765
Run 1,JL885,NI,3,JL885-NI-3,0.10876,0.03549,0.0264,0.01204,0.01182,0.00639,0.01807,0.00098,0.12249,0.0041,0.03876,0.04133,0.0743
Run 1,JL885,R,1,JL885-R-1,0.1409,0.02789,0.04734,0.07218,0.00722,0.01005,0.01286,0.0027,0.34678,0.00083,0.03594,0.04164,0.07597
Run 1,JL885,R,2,JL885-R-2,0.15557,0.02568,0.02755,0.06778,0.0022,0.00896,0.02294,0.00298,0.21901,0.00155,0.0389,0.03979,0.07466
Run 1,JL885,R,3,JL885-R-3,0.10212,0.0248,0.02953,0.09881,0.0063,0.00465,0.03428,0.00214,0.32047,0.00774,0.03479,0.02685,0.04802
Run 1,JL885,CAPE,1,JL885-CAPE-1,0.05241,0.05929,0.0401,0.09662,0.00742,0.00435,0.00983,0.00074,0.2094,0.0009,0.02991,0.04056,0.07016
Run 1,JL885,CAPE,2,JL885-CAPE-2,0.09009,0.01662,0.04439,0.05265,0.01481,0.012,0.01879,0.00607,0.20639,0,0.02761,0.03503,0.0666
Run 1,JL885,CAPE,3,JL885-CAPE-3,0.12227,0.01469,0.04365,0.05676,0.01378,0.01226,0.01438,0.00274,0.21516,0.00123,0.03111,0.03398,0.06977
Run 1,JL885,CAC,1,JL885-CAC-1,0.06729,0.0101,0.03205,0.0319,0.0013,0.00407,0.04568,0.00198,0.19585,0.00376,0.02366,0.04553,0.08948
Run 1,JL885,CAC,2,JL885-CAC-2,0.056,0.01085,0.02982,0.05089,0.002,0.00592,0.01797,0.00206,0.67097,0.00137,0.02153,0.03701,0.08131
Run 1,JL885,CAC,3,JL885-CAC-3,0.0503,0.00738,0.01911,0.03422,0.00378,0.00255,0.02888,0.00056,0.41833,0.0006,0.02745,0.04898,0.08969
Run 1,JL885,I,1,JL885-I-1,0.07604,0.01843,0.05664,0.06711,0.00581,0.01439,0.00854,0.00298,0.10153,0.00154,0.03164,0.04453,0.07172
Run 1,JL885,I,2,JL885-I-2,0.07888,0.01533,0.05104,0.11328,0.00356,0.00865,0.00928,0.00354,0.55198,0.00377,0.02878,0.04527,0.0717
Run 1,JL885,I,3,JL885-I-3,0.09326,0.01591,0.03356,0.06704,0.00118,0.01392,0.00721,0.00118,0.13689,0.00518,0.02838,0.03673,0.07484
Run 1,JL885,II,1,JL885-II-1,0.0847,0.02829,0.05688,0.03376,0.00381,0.00273,0.00911,0.00087,0.57784,0.00161,0.02311,0.03661,0.06652
Run 1,JL885,II,2,JL885-II-2,0.06735,0.03089,0.04988,0.08543,0.00567,0.001,0.00942,0.00147,0.15908,0.00523,0.02867,0.0287,0.07393
Run 1,JL885,II,3,JL885-II-3,0.06584,0.01925,0.04116,0.06905,0.01215,0.01489,0.01268,0.00365,0.48181,0.00368,0.03136,0.03797,0.07174
Run 1,JL885,III,1,JL885-III-1,0.04599,0.01477,0.03416,0.0465,0.00731,0.00138,0.00356,0.00072,0.18681,0.00106,0.03717,0.03949,0.06815
Run 1,JL885,III,2,JL885-III-2,0.07293,0.0139,0.02783,0.02367,0.0057,0.00194,0.01304,0.00248,0.1656,0.00565,0.03447,0.03735,0.0757
Run 1,JL885,III,3,JL885-III-3,0.06679,0.00994,0.03893,0.0641,0.00566,0.00403,0.01151,0.00419,0.25493,0,0.04016,0.04274,0.07173
Run 1,JL885,IV,1,JL885-IV-1,0.14173,0.02367,0.02139,0.02761,0.00518,0.08095,0.05056,0.00243,0.20583,0.00545,0.04681,0.05237,0.08318
Run 1,JL885,IV,2,JL885-IV-2,0.11103,0.0232,0.02991,0.04434,0.00296,0.12332,0.03633,0.00083,0.06578,0.00079,0.03729,0.03907,0.08021
