Run,BSH_Enzyme,BSH_IP_Conc,Inhibitor,Inhibitor_IP_Conc,Replicate,Sample_ID,TUDCA,TCDCA,TDCA,TCA,TLCA,GUDCA,GCDCA,GDCA,GCA,GLCA,Inhibitor_Complexity,Inhibitor_H_Bond_Acceptor,Inhibitor_H_Bond_Donor,Inhibitor_Rotatable_Bonds,Inhibitor_Molecular_Weight,Inhibitor_Polar_Surface_Area,Protein_Molecular_Weight,Protein_Aromaticity,Protein_Instability_Index,Protein_Isoelectric_Point,Protein_GRAVY, Protein_Hydrophilicity,Protein_AA_Percent_A,Protein_AA_Percent_C,Protein_AA_Percent_D,Protein_AA_Percent_E,Protein_AA_Percent_F,Protein_AA_Percent_G,Protein_AA_Percent_H,Protein_AA_Percent_I,Protein_AA_Percent_K,Protein_AA_Percent_L,Protein_AA_Percent_M,Protein_AA_Percent_N,Protein_AA_Percent_P,Protein_AA_Percent_Q,Protein_AA_Percent_R,Protein_AA_Percent_S,Protein_AA_Percent_T,Protein_AA_Percent_V,Protein_AA_Percent_W,Protein_AA_Percent_Y,TUDCA_complexity,TUDCA_h_bond_acceptor,TUDCA_h_bond_donor,TUDCA_rotatable_bonds,TUDCA_molecular_weight,TUDCA_polar_surface_area,TCDCA_complexity,TCDCA_h_bond_acceptor,TCDCA_h_bond_donor,TCDCA_rotatable_bonds,TCDCA_molecular_weight,TCDCA_polar_surface_area,TDCA_complexity,TDCA_h_bond_acceptor,TDCA_h_bond_donor,TDCA_rotatable_bonds,TDCA_molecular_weight,TDCA_polar_surface_area,TCA_complexity,TCA_h_bond_acceptor,TCA_h_bond_donor,TCA_rotatable_bonds,TCA_molecular_weight,TCA_polar_surface_area,TLCA_complexity,TLCA_h_bond_acceptor,TLCA_h_bond_donor,TLCA_rotatable_bonds,TLCA_molecular_weight,TLCA_polar_surface_area,GUDCA_complexity,GUDCA_h_bond_acceptor,GUDCA_h_bond_donor,GUDCA_rotatable_bonds,GUDCA_molecular_weight,GUDCA_polar_surface_area,GCDCA_complexity,GCDCA_h_bond_acceptor,GCDCA_h_bond_donor,GCDCA_rotatable_bonds,GCDCA_molecular_weight,GCDCA_polar_surface_area,GDCA_complexity,GDCA_h_bond_acceptor,GDCA_h_bond_donor,GDCA_rotatable_bonds,GDCA_molecular_weight,GDCA_polar_surface_area,GCA_complexity,GCA_h_bond_acceptor,GCA_h_bond_donor,GCA_rotatable_bonds,GCA_molecular_weight,GCA_polar_surface_area,GLCA_complexity,GLCA_h_bond_acceptor,GLCA_h_bond_donor,GLCA_rotatable_bonds,GLCA_molecular_weight,GLCA_polar_surface_area
Run 1,Ct,0.2,NI,100.0,Average,Ct-NI-1,50.62679,6.93058,23.42061,7.29112,1.88689,0.59571,7.73835,16.71289,7.45813,1.12698,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 1,Ct,0.2,NI,100.0,SD,Ct-NI-2,3.69421,0.69159,2.08672,0.81812,0.16557,0.21381,0.90558,1.60436,1.54131,0.15072,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 1,Ct,0.2,NI,100.0,CV (%),Ct-NI-3,7.29694,9.97886,8.90976,11.22084,8.77496,35.89217,11.70247,9.59951,20.66615,13.37377,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 2,Ct,0.2,NI,100.0,Average,Ct-NI-1,34.43204,8.54107,13.84494,7.39798,0.93344,0.12869,3.11269,11.94372,5.60044,1.05953,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 2,Ct,0.2,NI,100.0,SD,Ct-NI-2,1.66108,1.11066,1.23223,1.00424,0.02048,0.0077,0.36175,1.10724,0.74124,0.03022,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 2,Ct,0.2,NI,100.0,CV (%),Ct-NI-3,4.82423,13.00372,8.90025,13.5745,2.19359,5.98427,11.62173,9.27051,13.2354,2.85252,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 3,Ct,0.2,NI,100.0,Average,Ct-NI-1,60.22021,31.29191,22.71579,20.20385,5.76541,19.82905,21.2958,16.72877,14.7891,2.29442,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 3,Ct,0.2,NI,100.0,SD,Ct-NI-2,8.01646,4.05301,2.61204,2.61118,1.01162,12.97124,3.26876,2.17039,1.77331,0.42783,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 3,Ct,0.2,NI,100.0,CV (%),Ct-NI-3,13.31191,12.95226,11.49877,12.92416,17.54633,65.41533,15.34931,12.97402,11.99063,18.64633,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
Run 4,Ct,0.2,NI,100.0,Average,Ct-NI-1,52.40326,22.1296,16.42765,12.78487,3.68138,47.17882,13.01397,10.766,8.21916,1.10943,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,858.0,6,4,7,499.7,132.0,83.4,2,1,0,163.38,37.3,825.0,5,3,7,483.7,112.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,727.0,5,4,6,449.6,107.0,772.0,7,4,6,464.6,133.0,695.0,4,3,6,433.6,86.6
