Run,BSH_Enzyme,BSH_IP_Conc,Inhibitor,Inhibitor_IP_Conc,Replicate,Sample_ID,TUDCA_Conc,TCA_Conc,TLCA_Conc,GUDCA_Conc,GCDCA_Conc,GDCA_Conc,GCA_Conc,GLCA_Conc,TUDCA,TCDCA,TDCA,TCA,TLCA,GUDCA,GCDCA,GDCA,GCA,GLCA,inhibitor_compound_canonicalized,Inhibitor_Complexity,Inhibitor_H_Bond_Acceptor,Inhibitor_H_Bond_Donor,Inhibitor_Rotatable_Bonds,Inhibitor_Mass_Exact,Inhibitor_Molecular_Weight,Inhibitor_Polar_Surface_Area,Inhibitor_Weight_Monoisotopic,Protein_Organism,Protein_Molecular_Weight,Protein_Aromaticity,Protein_Instability_Index,Protein_Isoelectric_Point,Protein_GRAVY,Protein_AA_Percent_A,Protein_AA_Percent_C,Protein_AA_Percent_D,Protein_AA_Percent_E,Protein_AA_Percent_F,Protein_AA_Percent_G,Protein_AA_Percent_H,Protein_AA_Percent_I,Protein_AA_Percent_K,Protein_AA_Percent_L,Protein_AA_Percent_M,Protein_AA_Percent_N,Protein_AA_Percent_P,Protein_AA_Percent_Q,Protein_AA_Percent_R,Protein_AA_Percent_S,Protein_AA_Percent_T,Protein_AA_Percent_V,Protein_AA_Percent_W,Protein_AA_Percent_Y
Run 1,Ct,0.0,NI,0.0,Average,Ct-NI-1,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,50.6267933333333,6.93058,23.4206066666667,7.29111666666667,1.88688666666667,0.59571,7.73835333333333,16.71289,7.45813,1.12698333333333,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 1,Ct,0.0,NI,0.0,SD,Ct-NI-2,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,3.69420524878266,0.69159275827614,2.08672038592461,0.818124411402895,0.165573501603769,0.213813243977075,0.905578164507809,1.60435503829421,1.54130853883964,0.150720214415099,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 1,Ct,0.0,NI,0.0,CV (%),Ct-NI-3,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,7.29693706741318,9.9788583102156,8.90976231155672,11.2208382996143,8.7749574221258,35.8921696760294,11.7024659575441,9.59950695717024,20.6661527600034,13.3737749225898,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 2,Ct,0.0,NI,0.0,Average,Ct-NI-1,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,34.43204,8.54107,13.8449433333333,7.39797666666667,0.933436666666667,0.128693333333333,3.11269333333333,11.9437166666667,5.60043666666667,1.05953333333333,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 2,Ct,0.0,NI,0.0,SD,Ct-NI-2,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,1.66108039639868,1.11065647645886,1.23223498856076,1.00423837560279,0.0204757767455433,0.0077013526950356,0.361748701771455,1.10724295989333,0.741240184173344,0.0302233623763693,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 2,Ct,0.0,NI,0.0,CV (%),Ct-NI-3,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,4.82422881827124,13.0037158864037,8.90025303024543,13.5745004458803,2.19359036094682,5.98426701334104,11.6217263646742,9.27050591365329,13.2353998141813,2.85251642638609,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 3,Ct,0.0,NI,0.0,Average,Ct-NI-1,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,60.2202126666667,31.2919086666667,22.715787,20.203853,5.765408,19.829053,21.2958036666667,16.728769,14.7890996666667,2.294423,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 3,Ct,0.0,NI,0.0,SD,Ct-NI-2,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,8.01646210382843,4.05301011284284,2.61203521524366,2.61117802156479,1.01161727890196,12.971241309781,3.26875931882944,2.17039409186465,1.77330653558101,0.427825597652829,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 3,Ct,0.0,NI,0.0,CV (%),Ct-NI-3,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,13.3119126433536,12.9522623756098,11.4987661014943,12.9241586818355,17.5463259304799,65.4153343065904,15.3493118644114,12.9740215306019,11.9906321246714,18.6463262289835,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 4,Ct,0.0,NI,0.0,Average,Ct-NI-1,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,52.4032636666667,22.129605,16.4276483333333,12.7848716666667,3.68138266666667,47.178818,13.0139683333333,10.7660033333333,8.219161,1.10943133333333,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 4,Ct,0.0,NI,0.0,SD,Ct-NI-2,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,1.64152953827622,0.709260292482245,0.558201648206393,0.587496504249458,0.522031229646592,5.23520251473112,0.757222289761952,0.612591926151768,0.285710183372942,0.40380534932605,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 4,Ct,0.0,NI,0.0,CV (%),Ct-NI-3,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,3.13249485512557,3.2050291565631,3.39794008783197,4.59524756733543,14.1803033510577,11.096510545752,5.81853490316587,5.69005885642896,3.47614778896462,36.3975071907155,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 5,Ct,0.0,NI,0.0,Average,Ct-NI-1,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,85.510523,15.901586,11.3868223333333,9.40729533333333,3.800919,5.31706533333333,10.658028,7.705848,4.10992266666667,1.930593,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 5,Ct,0.0,NI,0.0,SD,Ct-NI-2,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,6.20981701445695,0.590274193029816,0.410150457813146,0.126789736944018,0.348118626630349,2.69553476172583,0.833827426681924,0.308465513714256,0.126418504912585,0.219548221384278,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 5,Ct,0.0,NI,0.0,CV (%),Ct-NI-3,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,7.2620500923108,3.71204603760792,3.60197468447794,1.34778097690585,9.15880150643434,50.6959119879004,7.82346815641622,4.00300542801073,3.07593390838947,11.372061402081,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 6,Ct,0.0,NI,0.0,Average,Ct-NI-1,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,146.554594333333,31.8867976666667,20.4284296666667,17.376853,9.610883,48.1038343333333,24.1715066666667,16.413115,8.658166,5.57409266666667,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 6,Ct,0.0,NI,0.0,SD,Ct-NI-2,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,6.34188963779853,1.44235428632231,0.710214284770683,0.538554627870748,0.352492806345037,20.2892115157009,1.18471422636108,0.606868970819072,0.319175295718513,0.223228927922286,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 6,Ct,0.0,NI,0.0,CV (%),Ct-NI-3,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,4.32732229695518,4.52335885654048,3.47659754743434,3.09926445180119,3.66764225872937,42.1779506704346,4.90128415534328,3.69746371008228,3.68640767246219,4.00475810632294,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run 1,JL885,7323.132,NI,0.0,Average,JL885-NI-1,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,0.117833333333333,0.0274533333333333,0.02846,0.0441633333333333,0.0058,0.0104933333333333,0.0199266666666667,0.00267,0.174293333333333,0.00368,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,Ligilactobacillus salivarius,36615.662,0.114,31.159,4.914,-0.386,0.04,0.009,0.062,0.071,0.052,0.074,0.012,0.077,0.065,0.086,0.012,0.099,0.037,0.025,0.031,0.062,0.062,0.062,0.006,0.056
