"BSH_Enzyme","Inhibitor","Bile_Acid","Run","Replicate","log2_concentration","fitted_value","fitted_se","enzyme_baseline","enzyme_inhibitor_interaction","enzyme_bileacid_interaction","inhibitor_potency","ci_lwr","ci_upr","inhibitor_baseline"
"1011c","CAC","GCA","Run 2","1",0.153260187603908,0.792567853043578,0.713824214450058,3.11285483103175,-1.14326891400724,1.24822746031924,4.25612374503899,-0.648375207618954,2.14981571302527,-6.90822569799475
"1011c","CAC","GCA","Run 2","2",1.24713908367213,0.725823083974908,0.732328443414603,3.11285483103175,-1.14326891400724,1.24822746031924,4.25612374503899,-0.745852053319072,2.12487544486617,-6.90822569799475
"1011c","CAC","GCA","Run 2","3",0.569108549520319,0.849754876032253,0.712950566204488,3.11285483103175,-1.14326891400724,1.24822746031924,4.25612374503899,-0.600872231397851,2.19389398812374,-6.90822569799475
"1011c","CAC","GCDCA","Run 2","1",1.96962635095648,1.74974660438229,0.712252884733995,3.11285483103175,-1.14326891400724,3.86722455141698,4.25612374503899,0.301064941948139,3.0930962501054,-6.90822569799475
"1011c","CAC","GCDCA","Run 2","2",2.61049759282829,1.68300183531362,0.722224330758537,3.11285483103175,-1.14326891400724,3.86722455141698,4.25612374503899,0.198797842883904,3.02991721945737,-6.90822569799475
"1011c","CAC","GCDCA","Run 2","3",-0.0680184234286512,1.80693362737097,0.7268252221367,3.11285483103175,-1.14326891400724,3.86722455141698,4.25612374503899,0.297799811975884,3.14695468275175,-6.90822569799475
"1011c","CAC","GDCA","Run 2","1",0.697730430883106,1.78181728847617,0.738774905597773,3.11285483103175,-1.14326891400724,2.99369609066356,4.25612374503899,0.301565755381054,3.19756338532432,-6.90822569799475
"1011c","CAC","GDCA","Run 2","2",3.39704757469116,1.7150725194075,0.753663470776475,3.11285483103175,-1.14326891400724,2.99369609066356,4.25612374503899,0.187077996868629,3.14143880231241,-6.90822569799475
"1011c","CAC","GDCA","Run 2","3",2.15148775318564,1.83900431146484,0.752803024055901,3.11285483103175,-1.14326891400724,2.99369609066356,4.25612374503899,0.282704530401361,3.23369238470049,-6.90822569799475
"1011c","CAC","GLCA","Run 2","1",-2.57844919376248,0.575973297211126,0.726785614710361,3.11285483103175,-1.14326891400724,4.79064537774658,4.25612374503899,-0.885897741329863,1.96310186833475,-6.90822569799475
"1011c","CAC","GLCA","Run 2","2",0.168976172048763,0.509228528142456,0.722450286118377,3.11285483103175,-1.14326891400724,4.79064537774658,4.25612374503899,-0.942673383120414,1.88933173846362,-6.90822569799475
"1011c","CAC","GLCA","Run 2","3",1.88752527074159,0.633160320199801,0.722386202461109,3.11285483103175,-1.14326891400724,4.79064537774658,4.25612374503899,-0.816327267762906,2.01542664588464,-6.90822569799475
"1011c","CAC","GUDCA","Run 2","1",0.636890292765017,-0.235403161224338,0.739987029650259,3.11285483103175,-1.14326891400724,0.0517224764312709,4.25612374503899,-1.71749202846989,1.18325712775913,-6.90822569799475
"1011c","CAC","GUDCA","Run 2","2",-0.150917952332673,-0.302147930293008,0.735528279350329,3.11285483103175,-1.14326891400724,0.0517224764312709,4.25612374503899,-1.77363523648923,1.10963561856406,-6.90822569799475
"1011c","CAC","GUDCA","Run 2","3",0.076102979085792,-0.178216138235663,0.738522819980207,3.11285483103175,-1.14326891400724,0.0517224764312709,4.25612374503899,-1.69356740760925,1.20144204671316,-6.90822569799475
"1011c","CAC","TCA","Run 2","1",-0.0672107388252373,0.270963861209549,0.748867491012645,3.11285483103175,-1.14326891400724,1.75935188388804,4.25612374503899,-1.23784505773918,1.69771550703039,-6.90822569799475
"1011c","CAC","TCA","Run 2","2",0.956705577400612,0.204219092140879,0.758738433619204,3.11285483103175,-1.14326891400724,1.75935188388804,4.25612374503899,-1.34893115393078,1.6253235058565,-6.90822569799475
"1011c","CAC","TCA","Run 2","3",1.80877496182378,0.328150884198224,0.762129787242742,3.11285483103175,-1.14326891400724,1.75935188388804,4.25612374503899,-1.21093564902294,1.77661311696861,-6.90822569799475
"1011c","CAC","TCDCA","Run 2","1",0.435696125197716,0.821408690004576,0.720730225032765,3.11285483103175,-1.14326891400724,2.11765864389679,4.25612374503899,-0.635482730664944,2.1897797514635,-6.90822569799475
"1011c","CAC","TCDCA","Run 2","2",0.623245155090802,0.754663920935906,0.728185277838744,3.11285483103175,-1.14326891400724,2.11765864389679,4.25612374503899,-0.717116249440911,2.13737003968696,-6.90822569799475
"1011c","CAC","TCDCA","Run 2","3",0.854779256946686,0.878595712993251,0.722882832644559,3.11285483103175,-1.14326891400724,2.11765864389679,4.25612374503899,-0.587839979726612,2.24586072424006,-6.90822569799475
"1011c","CAC","TDCA","Run 2","1",-1.51835429173002,1.38347636959181,0.719127091657483,3.11285483103175,-1.14326891400724,2.44235328329156,4.25612374503899,-0.103063829178346,2.71591437011899,-6.90822569799475
"1011c","CAC","TDCA","Run 2","2",1.29324534018328,1.31673160052314,0.732797065040925,3.11285483103175,-1.14326891400724,2.44235328329156,4.25612374503899,-0.222054697398565,2.65050979756186,-6.90822569799475
"1011c","CAC","TDCA","Run 2","3",1.0432915629113,1.44066339258049,0.731524068542496,3.11285483103175,-1.14326891400724,2.44235328329156,4.25612374503899,-0.0611925450900423,2.80638180359654,-6.90822569799475
"1011c","CAC","TLCA","Run 2","1",-2.14367036067144,1.42600884078437,0.713624514245472,3.11285483103175,-1.14326891400724,4.6474853102006,4.25612374503899,-0.0369238863156745,2.76048420952657,-6.90822569799475
"1011c","CAC","TLCA","Run 2","2",4.14167338867759,1.3592640717157,0.719995173373797,3.11285483103175,-1.14326891400724,4.6474853102006,4.25612374503899,-0.137998718741405,2.68438236088388,-6.90822569799475
"1011c","CAC","TLCA","Run 2","3",4.49851682661069,1.48319586377305,0.713625527103774,3.11285483103175,-1.14326891400724,4.6474853102006,4.25612374503899,0.0330836859125656,2.83049575215936,-6.90822569799475
"1011c","CAC","TUDCA","Run 2","1",0.332685089708516,0.909463988138182,0.730509270921937,3.11285483103175,-1.14326891400724,0.624689646993128,4.25612374503899,-0.529120176221221,2.33447616579277,-6.90822569799475
"1011c","CAC","TUDCA","Run 2","2",1.27423361631365,0.842719219069512,0.740770499981094,3.11285483103175,-1.14326891400724,0.624689646993128,4.25612374503899,-0.614143007724369,2.28967735220152,-6.90822569799475
"1011c","CAC","TUDCA","Run 2","3",1.94565516684176,0.966651011126857,0.731446926322205,3.11285483103175,-1.14326891400724,0.624689646993128,4.25612374503899,-0.507988344626053,2.35928360655699,-6.90822569799475
"1011c","CAPE","GCA","Run 2","1",-0.304960269601498,1.31470423178556,0.740185927920755,3.11285483103175,-0.865832032948417,1.24822746031924,3.97868686398017,-0.154773344401981,2.74675549304738,-6.48691876072403
"1011c","CAPE","GCA","Run 2","2",2.14700241238668,1.24795946271689,0.745006512462002,3.11285483103175,-0.865832032948417,1.24822746031924,3.97868686398017,-0.230890891299761,2.68953463755129,-6.48691876072403
"1011c","CAPE","GCA","Run 2","3",0.57705730263581,1.37189125477424,0.736518779166635,3.11285483103175,-0.865832032948417,1.24822746031924,3.97868686398017,-0.0745815966002684,2.81257201773294,-6.48691876072403
"1011c","CAPE","GCDCA","Run 2","1",3.26052755022322,2.27188298312428,0.73028743601635,3.11285483103175,-0.865832032948417,3.86722455141698,3.97868686398017,0.841979111254572,3.70470586043866,-6.48691876072403
"1011c","CAPE","GCDCA","Run 2","2",5.63247596192379,2.20513821405561,0.729857839035,3.11285483103175,-0.865832032948417,3.86722455141698,3.97868686398017,0.770955918256055,3.63199864727326,-6.48691876072403
"1011c","CAPE","GCDCA","Run 2","3",-0.547487795302494,2.32907000611296,0.717584773527795,3.11285483103175,-0.865832032948417,3.86722455141698,3.97868686398017,0.913790694145833,3.72672300637479,-6.48691876072403
"1011c","CAPE","GDCA","Run 2","1",1.9416560137692,2.30395366721815,0.753074986134558,3.11285483103175,-0.865832032948417,2.99369609066356,3.97868686398017,0.823498693622318,3.77555263926978,-6.48691876072403
"1011c","CAPE","GDCA","Run 2","2",3.35147237050138,2.23720889814948,0.747920989554933,3.11285483103175,-0.865832032948417,2.99369609066356,3.97868686398017,0.756538159452102,3.68838843850744,-6.48691876072403
"1011c","CAPE","GDCA","Run 2","3",1.67807190511264,2.36114069020683,0.743927013730279,3.11285483103175,-0.865832032948417,2.99369609066356,3.97868686398017,0.906018861380231,3.82221275520292,-6.48691876072403
"1011c","CAPE","GLCA","Run 2","1",-0.765534746362977,1.09810967595311,0.745296533525539,3.11285483103175,-0.865832032948417,4.79064537774658,3.97868686398017,-0.367854563328011,2.5537078480921,-6.48691876072403
"1011c","CAPE","GLCA","Run 2","2",1.51499994255359,1.03136490688444,0.753322515089312,3.11285483103175,-0.865832032948417,4.79064537774658,3.97868686398017,-0.471339634858354,2.48168462429175,-6.48691876072403
"1011c","CAPE","GLCA","Run 2","3",0.765534746362977,1.15529669894179,0.745733305798874,3.11285483103175,-0.865832032948417,4.79064537774658,3.97868686398017,-0.309816939370556,2.61345761936103,-6.48691876072403
"1011c","CAPE","GUDCA","Run 2","1",-0.185111405256988,0.286733217517648,0.771074821694338,3.11285483103175,-0.865832032948417,0.0517224764312709,3.97868686398017,-1.21813183328658,1.80448146775523,-6.48691876072403
