,BSH_Enzyme,Inhibitor,Bile_Acid,Run,Replicate,log2_concentration,fitted_values_7,fitted_se_7,ci_lwr_7,ci_upr_7,enzyme_baseline_7,inhibitor_baseline_7,enzyme_inhibitor_interaction_7,inhibitor_potency_7,enzyme_bileacid_interaction_7,fitted_values_9,fitted_se_9,ci_lwr_9,ci_upr_9,enzyme_baseline_9,enzyme_bileacid_interaction_9,enzyme_inhibitor_interaction_9,enzyme_inhibitor_bileacid_interaction_9,inhibitor_potency_9,Protein_Molecular_Weight,Protein_Aromaticity,Protein_Instability_Index,Protein_Isoelectric_Point,Protein_GRAVY,Protein_AA_Percent_A,Protein_AA_Percent_C,Protein_AA_Percent_D,Protein_AA_Percent_E,Protein_AA_Percent_F,Protein_AA_Percent_G,Protein_AA_Percent_H,Protein_AA_Percent_I,Protein_AA_Percent_K,Protein_AA_Percent_L,Protein_AA_Percent_M,Protein_AA_Percent_N,Protein_AA_Percent_P,Protein_AA_Percent_Q,Protein_AA_Percent_R,Protein_AA_Percent_S,Protein_AA_Percent_T,Protein_AA_Percent_V,Protein_AA_Percent_W,Protein_AA_Percent_Y,Protein_Organism,Inhibitor_IP_Conc,Inhibitor_Complexity,Inhibitor_H_Bond_Acceptor,Inhibitor_H_Bond_Donor,Inhibitor_Rotatable_Bonds,Inhibitor_Molecular_Weight,Inhibitor_Polar_Surface_Area,Bile_complexity,Bile_h_bond_acceptor,Bile_h_bond_donor,Bile_rotatable_bonds,Bile_molecular_weight,Bile_polar_surface_area
0,1011c,CAC,GCA,Run 2,1,0.153260187603908,0.796846168374191,0.766576333373857,-0.720217866491705,2.28476136033381,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,1.24822746031924,0.562476176759241,1.20596465882363,-1.93153298986149,2.79584847272712,2.21796608396708,4.85308689284523,-3.70172478904103,2.86918413742524,2.86918413742524,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,772.0,7,4,6,464.6,133.0
1,1011c,CAC,GCA,Run 2,2,1.24713908367213,0.729316386269753,0.765467835677564,-0.801163238073026,2.19947067778303,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,1.24822746031924,0.467402268182869,1.20500782157739,-2.04629059889259,2.67734006169077,2.21796608396708,4.85308689284523,-3.70172478904103,2.86918413742524,2.86918413742524,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,772.0,7,4,6,464.6,133.0
2,1011c,CAC,GCA,Run 2,3,0.569108549520319,0.85689699068209,0.76064851942653,-0.649028500829068,2.33271369532293,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,1.24822746031924,0.653836200180243,1.19702337697385,-1.8121175877495,2.88021404998801,2.21796608396708,4.85308689284523,-3.70172478904103,2.86918413742524,2.86918413742524,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,772.0,7,4,6,464.6,133.0
3,1011c,CAC,GCDCA,Run 2,1,1.96962635095648,1.77112177659433,0.773171617508384,0.176622220467367,3.20745496110023,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,3.86722455141698,1.50714091397838,1.21378885864015,-0.921993457910501,3.83605886795888,2.21796608396708,4.91788609318026,-3.70172478904103,3.82112458414594,3.82112458414594,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,727.0,5,4,6,449.6,107.0
4,1011c,CAC,GCDCA,Run 2,2,2.61049759282829,1.70359199448989,0.774907093799276,0.116836859967405,3.15447266766057,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,3.86722455141698,1.41206700540201,1.23250237365312,-0.953992323541046,3.87741698117917,2.21796608396708,4.91788609318026,-3.70172478904103,3.82112458414594,3.82112458414594,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,727.0,5,4,6,449.6,107.0
5,1011c,CAC,GCDCA,Run 2,3,-0.0680184234286512,1.83117259890223,0.761184284623758,0.314272634025215,3.29811502975034,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,3.86722455141698,1.59850093739938,1.25616925973765,-0.910279525576037,4.01390397259556,2.21796608396708,4.91788609318026,-3.70172478904103,3.82112458414594,3.82112458414594,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,727.0,5,4,6,449.6,107.0
6,1011c,CAC,GDCA,Run 2,1,0.697730430883106,1.78290466614805,0.74961704253343,0.296714845742735,3.23521365247378,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,2.99369609066356,2.11857236709228,1.42544894058411,-0.790311465169876,4.79744838191982,2.21796608396708,4.62884865844204,-3.70172478904103,4.49544627250896,4.49544627250896,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,727.0,5,4,6,449.6,107.0
7,1011c,CAC,GDCA,Run 2,2,3.39704757469116,1.71537488404362,0.746561810267781,0.216567378816541,3.14308967506624,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,2.99369609066356,2.02349845851591,1.41081517383821,-0.872468261507908,4.65792721993788,2.21796608396708,4.62884865844204,-3.70172478904103,4.49544627250896,4.49544627250896,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,727.0,5,4,6,449.6,107.0
8,1011c,CAC,GDCA,Run 2,3,2.15148775318564,1.84295548845595,0.720897625599919,0.393880664172273,3.21979935652396,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,2.99369609066356,2.20993239051328,1.38673476620091,-0.586312700022807,4.84968758348474,2.21796608396708,4.62884865844204,-3.70172478904103,4.49544627250896,4.49544627250896,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,727.0,5,4,6,449.6,107.0
9,1011c,CAC,GLCA,Run 2,1,-2.57844919376248,0.564495798060633,0.765211847955701,-0.950471462606639,2.04915898137971,3.11285483103175,-6.90822569799475,-1.14326891400724,4.25612374503899,4.79064537774658,-0.156186308982217,1.34426563252086,-2.72695736000582,2.54256391947596,2.21796608396708,5.75689650937282,-3.70172478904103,-3.96278403200838,-3.96278403200838,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,500.0,4.0,3.0,2.0,332.4,77.8,695.0,4,3,6,433.6,86.6
